Name,Location,Reviews,Score,URL
Home Saint Jean,Kibuye,136.0,7.9,https://www.booking.com/hotel/rw/home-saint-jean.html?label=gen173nr-1FCAEoggI46AdIM1gEaMMBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAL_8reMBsACAdICJDIzMGVhYzI2LTA4NWYtNGIzOS05ZTBjLTZlNWI4ZThmOWM4MNgCBeACAQ&sid=87d75aca03e64e797d5f059bc0e38b2f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=0&hapos=0&sr_order=popularity&srpvid=9a64631be243011d&srepoch=1637157944&from=searchresults#hotelTmpl
Lake Kivu Serena Hotel,Gisenyi,89.0,8.6,https://www.booking.com/hotel/rw/lake-kivu.html?label=gen173nr-1FCAEoggI46AdIM1gEaMMBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAL_8reMBsACAdICJDIzMGVhYzI2LTA4NWYtNGIzOS05ZTBjLTZlNWI4ZThmOWM4MNgCBeACAQ&sid=87d75aca03e64e797d5f059bc0e38b2f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=9a64631be243011d&srepoch=1637157944&from=searchresults#hotelTmpl
Gorillas Lake Kivu Hotel,Gisenyi,61.0,7.3,https://www.booking.com/hotel/rw/gorillas-lake-kivu.html?label=gen173nr-1FCAEoggI46AdIM1gEaMMBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAL_8reMBsACAdICJDIzMGVhYzI2LTA4NWYtNGIzOS05ZTBjLTZlNWI4ZThmOWM4MNgCBeACAQ&sid=87d75aca03e64e797d5f059bc0e38b2f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=9a64631be243011d&srepoch=1637157944&from=searchresults#hotelTmpl
Dereva Hotel Rwamagana,Rwamagana,48.0,7.7,https://www.booking.com/hotel/rw/dereva-rwamagana.html?label=gen173nr-1FCAEoggI46AdIM1gEaMMBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAL_8reMBsACAdICJDIzMGVhYzI2LTA4NWYtNGIzOS05ZTBjLTZlNWI4ZThmOWM4MNgCBeACAQ&sid=87d75aca03e64e797d5f059bc0e38b2f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9a64631be243011d&srepoch=1637157944&from=searchresults#hotelTmpl
Rebero Kivu Resort,Kibuye,72.0,8.2,https://www.booking.com/hotel/rw/rebero-kivu-resort.html?label=gen173nr-1FCAEoggI46AdIM1gEaMMBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAL_8reMBsACAdICJDIzMGVhYzI2LTA4NWYtNGIzOS05ZTBjLTZlNWI4ZThmOWM4MNgCBeACAQ&sid=87d75aca03e64e797d5f059bc0e38b2f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=9a64631be243011d&srepoch=1637157944&from=searchresults#hotelTmpl
Ingagi Park View Lodge,Kinigi,8.0,8.4,https://www.booking.com/hotel/rw/ingagi-park-view-lodge.html?label=gen173nr-1FCAEoggI46AdIM1gEaMMBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAL_8reMBsACAdICJDIzMGVhYzI2LTA4NWYtNGIzOS05ZTBjLTZlNWI4ZThmOWM4MNgCBeACAQ&sid=87d75aca03e64e797d5f059bc0e38b2f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=9a64631be243011d&srepoch=1637157944&from=searchresults#hotelTmpl
Rose Garden Private Apartment By LINK,Kigali,43.0,8.8,https://www.booking.com/hotel/rw/rose-garden-private-apartment-by-link.html?label=gen173nr-1FCAEoggI46AdIM1gEaMMBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAL_8reMBsACAdICJDIzMGVhYzI2LTA4NWYtNGIzOS05ZTBjLTZlNWI4ZThmOWM4MNgCBeACAQ&sid=87d75aca03e64e797d5f059bc0e38b2f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=9a64631be243011d&srepoch=1637157944&from=searchresults#hotelTmpl
Paradis Malahide,Gisenyi,107.0,8.2,https://www.booking.com/hotel/rw/paradis-malahide.html?label=gen173nr-1FCAEoggI46AdIM1gEaMMBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAL_8reMBsACAdICJDIzMGVhYzI2LTA4NWYtNGIzOS05ZTBjLTZlNWI4ZThmOWM4MNgCBeACAQ&sid=87d75aca03e64e797d5f059bc0e38b2f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=9a64631be243011d&srepoch=1637157944&from=searchresults#hotelTmpl
Hakuna Matata Lodge,Gisenyi,59.0,8.4,https://www.booking.com/hotel/rw/hakuna-matata-lodge.html?label=gen173nr-1FCAEoggI46AdIM1gEaMMBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAL_8reMBsACAdICJDIzMGVhYzI2LTA4NWYtNGIzOS05ZTBjLTZlNWI4ZThmOWM4MNgCBeACAQ&sid=87d75aca03e64e797d5f059bc0e38b2f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=9a64631be243011d&srepoch=1637157944&from=searchresults#hotelTmpl
Phoenix Apartment by LINK,Kigali,33.0,8.4,https://www.booking.com/hotel/rw/phoenix-apartment-by-link.html?label=gen173nr-1FCAEoggI46AdIM1gEaMMBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAL_8reMBsACAdICJDIzMGVhYzI2LTA4NWYtNGIzOS05ZTBjLTZlNWI4ZThmOWM4MNgCBeACAQ&sid=87d75aca03e64e797d5f059bc0e38b2f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=9a64631be243011d&srepoch=1637157944&from=searchresults#hotelTmpl
