Name,Location,Province,Reviews,Rating(out of 5),URL
Heaven Restaurant & Boutique Hotel,Kigali,Kigali Province,449,4.5,https://www.tripadvisor.com/Hotel_Review-g293829-d3190080-Reviews-Heaven_Restaurant_Boutique_Hotel-Kigali_Kigali_Province.html
Kigali Marriott Hotel,Kigali,Kigali Province,550,4.5,https://www.tripadvisor.com/Hotel_Review-g293829-d10593758-Reviews-Kigali_Marriott_Hotel-Kigali_Kigali_Province.html
Ubumwe Grande Hotel,Kigali,Kigali Province,181,4.5,https://www.tripadvisor.com/Hotel_Review-g293829-d10947742-Reviews-Ubumwe_Grande_Hotel-Kigali_Kigali_Province.html
"Radisson Blu Hotel & Convention Centre, Kigali",Kigali,Kigali Province,"1,211",5,https://www.tripadvisor.com/Hotel_Review-g293829-d10245535-Reviews-Radisson_Blu_Hotel_Convention_Centre_Kigali-Kigali_Kigali_Province.html
Lake Kivu Serena Hotel,Gisenyi,Western Province,354,4,https://www.tripadvisor.com/Hotel_Review-g317074-d671724-Reviews-Lake_Kivu_Serena_Hotel-Gisenyi_Western_Province.html
Kigali Serena Hotel,Kigali,Kigali Province,914,4.5,https://www.tripadvisor.com/Hotel_Review-g293829-d667720-Reviews-Kigali_Serena_Hotel-Kigali_Kigali_Province.html
The Retreat,Kigali,Kigali Province,226,5,https://www.tripadvisor.com/Hotel_Review-g293829-d12525285-Reviews-The_Retreat-Kigali_Kigali_Province.html
Nyungwe Forest Lodge,Gafunzo,Western Province,271,4.5,https://www.tripadvisor.com/Hotel_Review-g6628152-d1811475-Reviews-Nyungwe_Forest_Lodge-Gafunzo_Western_Province.html
Park Inn by Radisson Kigali,Kigali,Kigali Province,323,4.5,https://www.tripadvisor.com/Hotel_Review-g293829-d12363757-Reviews-Park_Inn_by_Radisson_Kigali-Kigali_Kigali_Province.html
Five Volcanoes Boutique Hotel,Ruhengeri,Northern Province,192,4.5,https://www.tripadvisor.com/Hotel_Review-g317075-d8423863-Reviews-Five_Volcanoes_Boutique_Hotel-Ruhengeri_Musanze_District_Northern_Province.html
The Nest,Kigali,Kigali Province,53,4.5,https://www.tripadvisor.com/Hotel_Review-g293829-d13546500-Reviews-The_Nest-Kigali_Kigali_Province.html
One&Only Nyungwe House,Gisakura,Western Province,79,5,https://www.tripadvisor.com/Hotel_Review-g3505199-d12813910-Reviews-One_Only_Nyungwe_House-Gisakura_Western_Province.html
Five to Five Hotel,Kigali,Kigali Province,445,4.5,https://www.tripadvisor.com/Hotel_Review-g293829-d6966018-Reviews-Five_to_Five_Hotel-Kigali_Kigali_Province.html
Tiloreza Volcanoes Ecolodge,Ruhengeri,Northern Province,28,5,https://www.tripadvisor.com/Hotel_Review-g317075-d20036200-Reviews-Tiloreza_Volcanoes_Ecolodge-Ruhengeri_Musanze_District_Northern_Province.html
Hotel Chez Lando,Kigali,Kigali Province,386,4,https://www.tripadvisor.com/Hotel_Review-g293829-d566222-Reviews-Hotel_Chez_Lando-Kigali_Kigali_Province.html
2000 Hotel,Kigali,Kigali Province,329,4,https://www.tripadvisor.com/Hotel_Review-g293829-d8674472-Reviews-2000_Hotel-Kigali_Kigali_Province.html
Rwiza Village Guest House,Kibuye,Western Province,100,4,https://www.tripadvisor.com/Hotel_Review-g673815-d6958969-Reviews-Rwiza_Village_Guest_House-Kibuye_Western_Province.html
Lebanon Hotel,Kigali,Kigali Province,75,4.5,https://www.tripadvisor.com/Hotel_Review-g293829-d14142521-Reviews-Lebanon_Hotel-Kigali_Kigali_Province.html
Rushel Kivu Lodge,Kibuye,Western Province,27,4.5,https://www.tripadvisor.com/Hotel_Review-g673815-d8409301-Reviews-Rushel_Kivu_Lodge-Kibuye_Western_Province.html
Dmall Hotel,Kigali,Kigali Province,20,5,https://www.tripadvisor.com/Hotel_Review-g293829-d12460669-Reviews-Dmall_Hotel-Kigali_Kigali_Province.html
The Manor Hotel,Kigali,Kigali Province,216,4,https://www.tripadvisor.com/Hotel_Review-g293829-d1901795-Reviews-The_Manor_Hotel-Kigali_Kigali_Province.html
Grand Legacy Hotel,Kigali,Kigali Province,238,4.5,https://www.tripadvisor.com/Hotel_Review-g293829-d6642622-Reviews-Grand_Legacy_Hotel-Kigali_Kigali_Province.html
Onomo Hotel Kigali,Kigali,Kigali Province,98,4,https://www.tripadvisor.com/Hotel_Review-g293829-d13949321-Reviews-Onomo_Hotel_Kigali-Kigali_Kigali_Province.html
"Urban by CityBlue Kigali, Rwanda",Kigali,Kigali Province,125,3.5,https://www.tripadvisor.com/Hotel_Review-g293829-d4472359-Reviews-Urban_by_CityBlue_Kigali_Rwanda-Kigali_Kigali_Province.html
Gloria Hotel,Kigali,Kigali Province,103,4,https://www.tripadvisor.com/Hotel_Review-g293829-d8007048-Reviews-Gloria_Hotel-Kigali_Kigali_Province.html
Quiet Haven Hotel,Kigali,Kigali Province,23,4,https://www.tripadvisor.com/Hotel_Review-g293829-d7942385-Reviews-Quiet_Haven_Hotel-Kigali_Kigali_Province.html
Palm Garden Resort,Gisenyi,Western Province,68,4,https://www.tripadvisor.com/Hotel_Review-g317074-d2165059-Reviews-Palm_Garden_Resort-Gisenyi_Western_Province.html
The Kingfish Beach Hotel,Rwesero,Northern Province,3,4,https://www.tripadvisor.com/Hotel_Review-g13132635-d12938891-Reviews-The_Kingfish_Beach_Hotel-Rwesero_Northern_Province.html
Western Mountain Hotel,Gisenyi,Western Province,1,5,https://www.tripadvisor.com/Hotel_Review-g317074-d10128335-Reviews-Western_Mountain_Hotel-Gisenyi_Western_Province.html
Midland Hotel,Kayonza,Eastern Province,,,https://www.tripadvisor.com/Hotel_Review-g6475304-d21096905-Reviews-Midland_Hotel-Kayonza_Eastern_Province.html
Hotel Paradis Malahide,Gisenyi,Western Province,380,4.5,https://www.tripadvisor.com/Hotel_Review-g317074-d647737-Reviews-Hotel_Paradis_Malahide-Gisenyi_Western_Province.html
Akagera Game Lodge,Akagera,Eastern Province,320,4,https://www.tripadvisor.com/Hotel_Review-g3871726-d1025999-Reviews-Akagera_Game_Lodge-Akagera_National_Park_Eastern_Province.html
Da Vinci Gorilla Lodge,Kinigi,Northern Province,129,4.5,https://www.tripadvisor.com/Hotel_Review-g12120944-d10832099-Reviews-Da_Vinci_Gorilla_Lodge-Kinigi_Musanze_District_Northern_Province.html
Mantis Epic Hotel & Suites,Nyagatare,Eastern Province,52,5,https://www.tripadvisor.com/Hotel_Review-g6387380-d13305964-Reviews-Mantis_Epic_Hotel_Suites-Nyagatare_Eastern_Province.html
Ingagi Park View Lodge,Kinigi,Northern Province,38,5,https://www.tripadvisor.com/Hotel_Review-g12120944-d16803930-Reviews-Ingagi_Park_View_Lodge-Kinigi_Musanze_District_Northern_Province.html
Step Town Motel,Kigali,Kigali Province,277,4.5,https://www.tripadvisor.com/Hotel_Review-g293829-d1584806-Reviews-Step_Town_Motel-Kigali_Kigali_Province.html
YAMBI Guesthouse,Kigali,Kigali Province,144,4.5,https://www.tripadvisor.com/Hotel_Review-g293829-d9601215-Reviews-YAMBI_Guesthouse-Kigali_Kigali_Province.html
INZU Lodge,Gisenyi,Western Province,159,4.5,https://www.tripadvisor.com/Hotel_Review-g317074-d3473180-Reviews-INZU_Lodge-Gisenyi_Western_Province.html
Good News Guest House,Kigali,Kigali Province,117,4.5,https://www.tripadvisor.com/Hotel_Review-g293829-d2439939-Reviews-Good_News_Guest_House-Kigali_Kigali_Province.html
The Bishop's House Rwanda,Ruhengeri,Northern Province,40,5,https://www.tripadvisor.com/Hotel_Review-g317075-d12961137-Reviews-The_Bishop_s_House_Rwanda-Ruhengeri_Musanze_District_Northern_Province.html
Sainte Famille Hotel,Kigali,Kigali Province,38,5,https://www.tripadvisor.com/Hotel_Review-g293829-d20481119-Reviews-Sainte_Famille_Hotel-Kigali_Kigali_Province.html
Red Rocks Rwanda Campsite & Guesthouse,Ruhengeri,Northern Province,93,4.5,https://www.tripadvisor.com/Hotel_Review-g317075-d3536864-Reviews-Red_Rocks_Rwanda_Campsite_Guesthouse-Ruhengeri_Musanze_District_Northern_Province.html
Hotel Des Mille Collines,Kigali,Kigali Province,915,4,https://www.tripadvisor.com/Hotel_Review-g293829-d1649720-Reviews-Hotel_Des_Mille_Collines-Kigali_Kigali_Province.html
Nyungwe Top View Hill Hotel,Gisakura,Western Province,161,4,https://www.tripadvisor.com/Hotel_Review-g3505199-d3235700-Reviews-Nyungwe_Top_View_Hill_Hotel-Gisakura_Western_Province.html
5 Swiss Hotel,Kigali,Kigali Province,78,4.5,https://www.tripadvisor.com/Hotel_Review-g293829-d7702701-Reviews-5_Swiss_Hotel-Kigali_Kigali_Province.html
Discover Rwanda Youth Hostel,Kigali,Kigali Province,341,4,https://www.tripadvisor.com/Hotel_Review-g293829-d1969369-Reviews-Discover_Rwanda_Youth_Hostel-Kigali_Kigali_Province.html
Golf Hills Residence,Kigali,Kigali Province,147,4.5,https://www.tripadvisor.com/Hotel_Review-g293829-d1177836-Reviews-Golf_Hills_Residence-Kigali_Kigali_Province.html
Lemigo Hotel,Kigali,Kigali Province,263,3.5,https://www.tripadvisor.com/Hotel_Review-g293829-d1940846-Reviews-Lemigo_Hotel-Kigali_Kigali_Province.html
Olympic Hotel,Kigali,Kigali Province,40,4.5,https://www.tripadvisor.com/Hotel_Review-g293829-d8772922-Reviews-Olympic_Hotel-Kigali_Kigali_Province.html
Hotel Le Garni,Kigali,Kigali Province,63,4.5,https://www.tripadvisor.com/Hotel_Review-g293829-d1380093-Reviews-Hotel_Le_Garni-Kigali_Kigali_Province.html
Umusambi B&B,Kigali,Kigali Province,27,5,https://www.tripadvisor.com/Hotel_Review-g293829-d9782453-Reviews-Umusambi_B_B-Kigali_Kigali_Province.html
Amahoro Guest House,Ruhengeri,Northern Province,41,4.5,https://www.tripadvisor.com/Hotel_Review-g317075-d3824896-Reviews-Amahoro_Guest_House-Ruhengeri_Musanze_District_Northern_Province.html
Garr Hotel,Kigali,Kigali Province,85,4,https://www.tripadvisor.com/Hotel_Review-g293829-d3395938-Reviews-Garr_Hotel-Kigali_Kigali_Province.html
Iris Guesthouse,Kigali,Kigali Province,106,4,https://www.tripadvisor.com/Hotel_Review-g293829-d1147096-Reviews-Iris_Guesthouse-Kigali_Kigali_Province.html
Villa Belle Vue,Kigali,Kigali Province,37,4.5,https://www.tripadvisor.com/Hotel_Review-g293829-d4327323-Reviews-Villa_Belle_Vue-Kigali_Kigali_Province.html
Cozy Safari,Kigali,Kigali Province,21,5,https://www.tripadvisor.com/Hotel_Review-g293829-d13499842-Reviews-Cozy_Safari-Kigali_Kigali_Province.html
Ruhondo Beach Resort,Ruhengeri,Northern Province,33,4.5,https://www.tripadvisor.com/Hotel_Review-g317075-d3673393-Reviews-Ruhondo_Beach_Resort-Ruhengeri_Musanze_District_Northern_Province.html
Mubwiza Courts,Kigali,Kigali Province,38,5,https://www.tripadvisor.com/Hotel_Review-g293829-d4427293-Reviews-Mubwiza_Courts-Kigali_Kigali_Province.html
Pili Pili Boutique Hotel,Kigali,Kigali Province,26,4.5,https://www.tripadvisor.com/Hotel_Review-g293829-d12872918-Reviews-Pili_Pili_Boutique_Hotel-Kigali_Kigali_Province.html
One&Only Gorilla's Nest,Kinigi,Northern Province,30,5,https://www.tripadvisor.com/Hotel_Review-g12120944-d17756685-Reviews-One_Only_Gorilla_s_Nest-Kinigi_Musanze_District_Northern_Province.html
