Name,Category,Year,URL
Rwanda | Today's latest from Al Jazeera,,2021,https://www.aljazeera.com/where/rwanda/
"Gunmen seize villages in DRC near Uganda, Rwanda borders ...",News,2021,https://www.aljazeera.com/news/2021/11/8/gunmen-seize-villages-in-drc-near-uganda-rwanda-borders
"Rwanda deploys 1,000 soldiers to Mozambique's Cabo Delgado ...",News,2021,https://www.aljazeera.com/news/2021/7/10/rwanda-deploys-1000-soldiers-to-mozambique-cabo-delgado
Rwanda's Paul Kagame accuses ICC of bias against Africa | Paul ...,News,2018,https://www.aljazeera.com/news/2018/4/29/rwandas-paul-kagame-accuses-icc-of-bias-against-africa
Kagame's Rwanda is still Africa's most inspiring success story | Paul ...,Opinions,2019,https://www.aljazeera.com/opinions/2019/10/21/kagames-rwanda-is-still-africas-most-inspiring-success-story
Ghana peacekeepers remember Rwanda's genocide | Features | Al ...,Features,2014,https://www.aljazeera.com/features/2014/4/6/ghana-peacekeepers-remember-rwandas-genocide
World reaction to 'Hotel Rwanda' hero's prison sentence | News | Al ...,News,2021,https://www.aljazeera.com/news/2021/9/20/world-reaction-hotel-rwanda-star-jailed
Rwandan court rules it can try Hotel Rwanda hero | Courts News | Al ...,News,2021,https://www.aljazeera.com/news/2021/2/26/rwandan-court-rules-it-can-try-hotel-rwanda-hero
'Hotel Rwanda' hero given 25-year sentence in 'terrorism' case ...,News,2021,https://www.aljazeera.com/news/2021/9/20/rwanda-court-finds-hotel-rwanda-hero-guilty-in-terrorism-case
France bears 'overwhelming responsibilities' over Rwanda genocide ...,News,2021,https://www.aljazeera.com/news/2021/3/26/blind-france-bears-responsibility-on-rwanda-genocide-report
"Rwanda, Mozambique forces recapture port city from rebels | Armed ...",News,2021,https://www.aljazeera.com/news/2021/8/8/rwanda-mozambique-forces-recapture-port-city-from-rebels
Six arrested in Rwanda for spreading rumours to cause 'uprising ...,News,2021,https://www.aljazeera.com/news/2021/10/14/six-arrested-in-rwanda-over-spreading-rumours-to-cause-uprising
Rwandans decide on presidential term limits | Paul Kagame News ...,News,2015,https://www.aljazeera.com/news/2015/12/19/rwandans-decide-on-presidential-term-limits
"Rwanda: Dozens killed as heavy rains trigger floods, landslides ...",News,2020,https://www.aljazeera.com/news/2020/5/8/rwanda-dozens-killed-as-heavy-rains-trigger-floods-landslides
France's Macron heads to Rwanda to reset relations | Genocide ...,News,2021,https://www.aljazeera.com/news/2021/5/27/frances-macron-heads-to-rwanda-to-reset-relations
French troops set to avoid trial over Rwanda massacre | News | Al ...,News,2021,https://www.aljazeera.com/news/2021/5/3/french-troops-set-to-avoid-trial-over-rwanda-massacre
Macron recognises French 'responsibility' in Rwanda genocide ...,News,2021,https://www.aljazeera.com/news/2021/5/27/macron-recognises-french-responsibility-in-rwanda-genocide
Rwanda paid for flight that led to Paul Rusesabagina arrest | Human ...,,2021,https://www.aljazeera.com/program/upfront/2021/2/26/rwanda-paid-for-flight-that-led-to-paul-rusesabagina-arrest
"Rwanda: Paul Rusesabagina quits trial, says expects no justice ...",News,2021,https://www.aljazeera.com/news/2021/3/24/hotel-rwanda-hero-quits-trial-says-expects-no-justice
Hotel Rwanda hero Paul Rusesabagina goes on trial in Kigali ...,News,2021,https://www.aljazeera.com/news/2021/2/17/trial-of-hotel-rwanda-hero-begins-in-kigali
Rwanda arrests woman deported from US on genocide charges ...,News,2021,https://www.aljazeera.com/news/2021/4/17/rwanda-arrests-woman-deported-from-us-on-genocide-charges
"Hutu rebels accuse DRC, Rwanda after Italian ambassador killed ...",News,2021,https://www.aljazeera.com/news/2021/2/23/hutu-rebels-accuse-drc-rwanda-over-italians-killing
"Paul Rusesabagina admits backing rebels, denies violence | News ...",News,2020,https://www.aljazeera.com/news/2020/9/25/hotel-rwanda-hero-admits-forming-armed-group-behind-attacks
Rwanda: Capturing a vision of hell | Human Rights | Al Jazeera,Features,2016,https://www.aljazeera.com/features/2016/4/7/rwanda-capturing-a-vision-of-hell
Born out of conflict: How cricket is helping heal Rwanda's wounds ...,Features,2021,https://www.aljazeera.com/features/2021/2/19/why-cricket-is-the-fastest-growing-sport-in-rwanda
Macron 'silent' on Kagame abuses: Rwanda opposition leaders ...,News,2021,https://www.aljazeera.com/news/2021/5/25/macron-silent-on-kagame-abuses-rwanda-opposition
"'Hotel Rwanda' hero denied another bail, ordered to stand trial ...",News,2020,https://www.aljazeera.com/news/2020/10/2/hotel-rwanda-hero-denied-bail-ordered-to-stand-trial
Dueling narratives on the Rwanda genocide | Genocide News | Al ...,News,2021,https://www.aljazeera.com/podcasts/2021/4/28/dueling-narratives-on-the-rwanda-genocide
Why has 'Hotel Rwanda' hero been jailed? | News | Al Jazeera,,2021,https://www.aljazeera.com/program/inside-story/2021/9/21/why-has-hotel-rwanda-hero-been-jailed
Rwanda report: France 'complicit' in 1994 genocide | Human Rights ...,News,2017,https://www.aljazeera.com/news/2017/12/13/rwanda-report-france-complicit-in-1994-genocide
Rwanda report: France 'complicit' in 1994 genocide | Human Rights ...,News,2017,https://www.aljazeera.com/news/2017/12/13/rwanda-report-france-complicit-in-1994-genocide
Lawyer for Hotel Rwanda hero deported for visa violation | News | Al ...,News,2021,https://www.aljazeera.com/news/2021/8/23/lawyer-for-hotel-rwanda-hero-deported-for-visa-violation
'Music to kill to': Rwandan genocide survivors remember RTLM ...,Features,2020,https://www.aljazeera.com/features/2020/6/7/music-to-kill-to-rwandan-genocide-survivors-remember-rtlm
Hotel Rwanda hero says he was kidnapped before arrest | News | Al ...,News,2020,https://www.aljazeera.com/news/2020/11/27/hotel-rwanda-hero-says-he-was-kidnapped-before-arrest
Arrest of Hotel Rwanda hero an 'enforced disappearance': HRW ...,News,2020,https://www.aljazeera.com/news/2020/9/11/arrest-of-hotel-rwanda-hero-an-enforced-disappearance-hrw
Verdict in trial of 'Hotel Rwanda' hero delayed until September ...,News,2021,https://www.aljazeera.com/news/2021/8/20/verdict-in-trial-of-hotel-rwanda-hero-set-for-september-20
Rwanda genocide 'financier' to face UN tribunal at The Hague ...,News,2020,https://www.aljazeera.com/news/2020/11/9/rwanda-genocide-financier-to-face-un-tribunal-at-the-hague
"Rwanda could take 10,000 refugees from Israel: Minister | Refugees ...",News,2017,https://www.aljazeera.com/news/2017/11/24/rwanda-could-take-10000-refugees-from-israel-minister
Presidents of Rwanda and Uganda sign pact to ease tensions ...,Economy,2019,https://www.aljazeera.com/economy/2019/8/21/presidents-of-rwanda-and-uganda-sign-pact-to-ease-tensions
Rwanda needs to take torture seriously | Human Rights | Al Jazeera,Opinions,2017,https://www.aljazeera.com/opinions/2017/12/16/rwanda-needs-to-take-torture-seriously
Pope apologises for church's role in Rwanda genocide | Religion ...,News,2017,https://www.aljazeera.com/news/2017/3/20/pope-apologises-for-churchs-role-in-rwanda-genocide
"'Russia, Rwanda sent troops' to Central African Republic | Politics ...",News,2020,https://www.aljazeera.com/news/2020/12/21/russia-rwanda-send-troops-to-central-african-republic
Closure of Rwanda genocide orphanages exacts heavy toll | Human ...,Features,2016,https://www.aljazeera.com/features/2016/1/21/closure-of-rwanda-genocide-orphanages-exacts-heavy-toll
"In Mozambique, Kagame says Rwandan troops' work not over ...",News,2021,https://www.aljazeera.com/news/2021/9/24/in-mozambique-kagame-says-rwandan-troops-presence-to-continue
Paul Rusesabagina of Hotel Rwanda film denied bail | Paul Kagame ...,News,2020,https://www.aljazeera.com/news/2020/9/17/paul-rusesabagina-of-hotel-rwanda-film-denied-bail
Qatar Airways to take 60% stake in Rwanda international airport ...,Economy,2019,https://www.aljazeera.com/economy/2019/12/10/qatar-airways-to-take-60-stake-in-rwanda-international-airport
Hotel Rwanda hero Paul Rusesabagina charged with 'terrorism ...,News,2020,https://www.aljazeera.com/news/2020/9/14/hotel-rwanda-hero-paul-rusesabagina-charged-with-terrorism
Catholic bishops apologise for role in Rwanda genocide | Genocide ...,News,2016,https://www.aljazeera.com/news/2016/11/20/catholic-bishops-apologise-for-role-in-rwanda-genocide
"Eight killed, 18 wounded in attack near Rwanda's tourist hub | News ...",News,2019,https://www.aljazeera.com/news/2019/10/5/eight-killed-18-wounded-in-attack-near-rwandas-tourist-hub
The mixed tale of women's empowerment in Rwanda | Features | Al ...,Features,2018,https://www.aljazeera.com/features/2018/9/20/the-mixed-tale-of-womens-empowerment-in-rwanda
Israel pushes to deport asylum seekers to Rwanda | Refugees News ...,News,2017,https://www.aljazeera.com/news/2017/11/21/israel-pushes-to-deport-asylum-seekers-to-rwanda
Remembering Rwanda's genocide | Features | Al Jazeera,Features,2012,https://www.aljazeera.com/features/2012/7/1/remembering-rwandas-genocide
Timeline: How Rwanda's genocide unfolded | Humanitarian Crises ...,News,2014,https://www.aljazeera.com/news/2014/4/14/timeline-how-rwandas-genocide-unfolded
Belgium detains Rwanda genocide suspects | News | Al Jazeera,News,2020,https://www.aljazeera.com/news/2020/10/3/belgium-detains-rwanda-genocide-suspects
Hotel Rwanda film hero Paul Rusesabagina held on terror charges ...,News,2020,https://www.aljazeera.com/news/2020/8/31/hotel-rwanda-film-hero-paul-rusesabagina-held-on-terror-charges
