Name,Channel,Category,Year,URL
Rwanda goes electric with locally made motorbikes,Business,News,2021,https://www.bbc.co.uk/news/business-58820548
Waterloo Road: Series 4: Episode 19,BBC One,Programmes,2009,https://www.bbc.co.uk/programmes/b00kfsx2
The Compass: One Hundred Years of Exile: Who is a refugee?,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/w3ct2z3d
The Compass: One Hundred Years of Exile,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/w27vqfd8
All Watched Over by Machines of Loving Grace: The Monkey in the Machine and the Machine in the Monkey,BBC Two,Programmes,2011,https://www.bbc.co.uk/programmes/b011x721
One Zoo Three: Series 1: The Birthday,CBBC,Programmes,2020,https://www.bbc.co.uk/programmes/m000n1cr
Rwanda genocide 'kingpin' ThÃ©oneste Bagosora dies in prison,Africa,News,2021,https://www.bbc.co.uk/news/world-africa-58695094
Arrest made in Rwanda over volleyball scandal,Sport Africa,Sport,2021,https://www.bbc.co.uk/sport/africa/58636929
"Focus on Africa: ""Hotel Rwanda"" hero convicted",BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/w172xwp41fn8zqv
Newshour: Hotel Rwandaâs Paul Rusesabagina convicted of terrorism,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/w172xv59q2dqd11
Weekend: Senior Serb politician confirms to BBC that he intends to create Serb army,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/w172xythn2z8rn0
Hotel Rwanda hero Paul Rusesabagina convicted on terror charges,Africa,News,2021,https://www.bbc.co.uk/news/world-africa-58624691
Paul Rusesabagina: From Hotel Rwanda hero to convicted terrorist,Africa,News,2021,https://www.bbc.co.uk/news/world-africa-58604468
Women's African Volleyball: Cameroon retain title as Rwanda disqualified,Sport Africa,Sport,2021,https://www.bbc.co.uk/sport/africa/58623340
Global News Podcast: Hotel Rwanda hero convicted on terror charges,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/p09whyvc
UCI Road World Championships: Rwanda selected as first African hosts in 2025,Cycling,Sport,2021,https://www.bbc.co.uk/sport/cycling/58664176
Africa Daily: Why is a Hollywood hero on trial in Rwanda?,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/p09wby0g
Africa 360 with...: Mike Kayihura from Rwanda,BBC Radio 1Xtra,Programmes,2021,https://www.bbc.co.uk/programmes/m000ym6t
Mozambique insurgency: Rwanda leads the fightback,Africa,News,2021,https://www.bbc.co.uk/news/world-africa-58079510
Mozambique insurgency: Key port retaken from insurgents - Rwanda,Africa,News,2021,https://www.bbc.co.uk/news/world-africa-58138507
Africa Daily: Why is Rwanda fighting foreign wars?,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/p09qyb4h
Newshour: Can the Pope's climate message make a difference?,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/w172xv5cjf00kxj
The Fifth Floor: Hotel Rwanda hero on trial,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/p09mk8zs
The Fifth Floor: Hotel Rwanda hero on trial,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/w3ct20f2
World Questions: Climate change: Southern hemisphere,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/w3ct1wfm
Newshour: France asks Rwanda for forgiveness over genocide,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/w172xv53jj1rkf2
Africa Today: Macron asks Rwanda to forgive France over genocide,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/p09jv223
Focus on Africa: Macron visits Rwanda to mend diplomatic relations,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/w172xwnxvw99p4c
Macron asks Rwanda to forgive France over 1994 genocide role,Europe,News,2021,https://www.bbc.co.uk/news/world-europe-57270099
Jean de Dieu Bagirishya: Rwandan volleyball official jailed for forgery,Sport Africa,Sport,2021,https://www.bbc.co.uk/sport/africa/58896495
HPV vaccine: How it protects against cervical cancer and who can get it,Health,News,2021,https://www.bbc.co.uk/news/health-59162930
Rwanda will play a 'modest' role to help ensure the Olympics go ahead,Sport Africa,Sport,2021,https://www.bbc.co.uk/sport/africa/57356461
COP26: What African climate experts want you to know,Africa,News,2021,https://www.bbc.co.uk/news/world-africa-58982118
From Our Own Correspondent: Rwanda and the opposition,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/w3ct1mtm
Global News Podcast: Macron asks Rwanda to forgive France over 1994 genocide role,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/p09jsvc0
The Compass: One Hundred Years of Exile: 24/11/2021 GMT,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/w3ct2z3g
"BAL: The NBA-backed Basketball Africa League to tip off in Kigali, Rwanda",Sport Africa,Sport,2021,https://www.bbc.co.uk/sport/av/africa/57119329
Focus on Faith: Rebuilding Faith in Rwanda,BBC World Service,Programmes,1996,https://www.bbc.co.uk/programmes/p03njt6s
Focus on Faith: Rwanda: Life After Genocide,BBC World Service,Programmes,1994,https://www.bbc.co.uk/programmes/p03njsnw
Focus on Faith: Church Targetted in Rwanda,BBC World Service,Programmes,1994,https://www.bbc.co.uk/programmes/p03njsn3
"France was 'blind' to Rwanda genocide, French report says",Europe,News,2021,https://www.bbc.co.uk/news/world-europe-56536659
World Questions: Climate Change - Southern Hemisphere,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/p09yzff2
More or Less: Glasgow Vs Rwanda,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/w3ct0pyn
Focus on Faith: Why the Church Failed Rwanda,BBC World Service,Programmes,1995,https://www.bbc.co.uk/programmes/p03njsyw
Focus on Faith: Dr George Carey Visits Rwanda,BBC World Service,Programmes,1995,https://www.bbc.co.uk/programmes/p03njsyc
The Travel Show: Exploring Rwanda,BBC  World News,Programmes,2021,https://www.bbc.co.uk/programmes/m000rfn4
The Travel Show: Exploring Rwanda,BBC News,Programmes,2021,https://www.bbc.co.uk/programmes/m000r86t
"Coronavirus Global Update: Nigeria, Kenya, Rwanda start vaccine rollout",BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/p098tz2p
Africa Daily: Can extra school help students catch up?,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/p09y8lff
"Global News Podcast: France was 'blind' to Rwanda genocide, report says",BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/p09bzgyv
The Compass: One Hundred Years of Exile: 17/11/2021 GMT,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/w3ct2z3f
"The Culture Cafe: Landmarks, leotards and looking directly down the lens",BBC Radio Ulster,Programmes,2021,https://www.bbc.co.uk/programmes/m0010fgb
The rise of Turkish investment in Rwanda,Business,News,2021,https://www.bbc.co.uk/news/business-55806760
The Welsh couple who brought rugby to Rwanda,Wales,News,2021,https://www.bbc.co.uk/news/uk-wales-55926628
Hotel Rwanda hero Rusesabagina in court on terrorism charges,Africa,News,2021,https://www.bbc.co.uk/news/world-africa-56082268
More or Less: Behind the Stats: Glasgow vs Rwanda,BBC Radio 4,Programmes,2021,https://www.bbc.co.uk/programmes/p09665pj
Group F: Tuyisenge - 'no easy task' for Rwanda to qualify for Cameroon 2022,Sport Africa,Sport,2021,https://www.bbc.co.uk/sport/africa/56358914
Witness History: Rwanda at the Paralympics,BBC World Service,Programmes,2020,https://www.bbc.co.uk/programmes/w3cszmn4
Algeria women footballers 'powerless' in Sudan after coup delays return home,Sport Africa,Sport,2021,https://www.bbc.co.uk/sport/africa/59036986
Focus on Africa: Rwandan government critic sentenced to 25 years,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/w172xwp41fn8r7l
Focus on Africa: Rwanda: Kigali placed in 15-day lockdown,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/w172x1gyhlytn1n
"Edward Adoo: Jamaican Athletes, Rwanda Genocide Survivor and 40 Years of Hip Hop",BBC Three Counties Radio,Programmes,2017,https://www.bbc.co.uk/programmes/p059x174
Project 17: One girl's quest for clean water in Rwanda,Africa,News,2021,https://www.bbc.co.uk/news/world-africa-55683775
From Our Own Correspondent: Reconciliation in Rwanda,BBC World Service,Programmes,2003,https://www.bbc.co.uk/programmes/p03js5kh
Focus on Africa: Hotel Rwanda 'hero' Paul Rusesabagina goes on trial in Kigali,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/w172x1gzyp70wwv
Rwanda bolsters force in CAR as rebels 'held back',Africa,News,2020,https://www.bbc.co.uk/news/world-africa-55394042
