Name,Category,Year,URL
Which countries have been removed from the UK's red list?,Travel News,2021,https://www.euronews.com/travel/2021/10/07/uk-removes-travel-restrictions-for-47-countries
UK travel: Amber list scrapped as of 4am today,Travel News,2021,https://www.euronews.com/travel/2021/10/04/uk-travel-amber-list-scrapped-as-of-4am-today
Man behind the inspiration for Hotel Rwanda convicted of terror charge,Rwanda,2021,https://www.euronews.com/2021/09/20/man-behind-the-inspiration-for-hotel-rwanda-convicted-of-terror-charges
Photo gallery: Burundi's women's status is being rethought,Culture Series,2021,https://www.euronews.com/culture/2021/08/19/photo-gallery-burundi-s-women-s-status-is-being-rethought
Gino Strada: Italian surgeon and Emergency NGO founder dies aged 73,Italy,2021,https://www.euronews.com/2021/08/13/gino-strada-italian-surgeon-and-emergency-ngo-founder-dies-aged-73
Travel-loving vegans need to check out this luxury holiday company,Experiences,2021,https://www.euronews.com/travel/2021/08/12/worried-about-what-there-ll-be-to-eat-this-travel-company-takes-the-stress-out-of-vegan-ho
Emmanuel Macron identifed as potential Pegasus spyware target,Biztech news,2021,https://www.euronews.com/next/2021/07/21/pegasus-spyware-scandal-emmanuel-macron-among-14-heads-of-states-identified-as-possible-ta
Pegasus spyware scandal: What we know so far,Biztech news,2021,https://www.euronews.com/next/2021/07/20/what-is-pegasus-the-israeli-mobile-phone-spyware-used-by-governments-around-the-world
Podcast | Liberia's invisible war wound: from warrior to black sheep,Culture Series,2021,https://www.euronews.com/culture/2021/06/24/podcast-liberia-s-child-soldiers-face-ptsd-as-they-seek-their-place-in-post-war-society
Can American citizens travel to Europe? Here are the latest updates,Travel News,2021,https://www.euronews.com/travel/2021/06/21/can-american-citizens-travel-to-europe-here-are-the-latest-updates
Not bad enough for genocide? The towns the Mladić verdict downplayed,Bosnia and Herzegovina,2021,https://www.euronews.com/2021/06/11/not-bad-enough-for-genocide-the-bosnian-towns-feeling-cheated-by-mladic-verdict
Why is Denmark under fire over new law to send asylum seekers abroad?,Denmark,2021,https://www.euronews.com/2021/06/07/everything-we-currently-know-about-denmark-s-plans-for-offshore-refugee-centres
'Shameful abdication': Denmark slammed over plan to outsource asylum,Denmark,2021,https://www.euronews.com/2021/06/03/denmark-passes-a-law-to-send-its-asylum-seekers-outside-of-europe
Macron warns France could withdraw troops from Mali following coup,France,2021,https://www.euronews.com/2021/05/30/macron-warns-france-could-withdraw-troops-from-mali-following-coup
Thousands leave Goma after more volcanic activity,no comment,2021,https://www.euronews.com/2021/05/27/thousands-leave-goma-after-more-volcanic-activity
France 'inflicted suffering on Rwanda by staying silent over genocide',Rwanda,2021,https://www.euronews.com/2021/05/27/france-inflicted-suffering-on-rwanda-with-silence-over-genocide-admits-macron
"Congo volcano kills 15 people, thousands flee",Democratic Republic Of Congo,2021,https://www.euronews.com/2021/05/23/congo-volcano-kills-15-people-thousands-of-others-flee
Mount Nyiragongo erupted at night and sent thousands of Congolese fleeing in panic,no comment,2021,https://www.euronews.com/2021/05/23/mount-nyiragongo-erupted-at-night-and-sent-thousands-of-congolese-fleeing-in-panic
The EU is officially welcoming vaccinated travellers in summer 2021,Travel News,2021,https://www.euronews.com/travel/2021/05/19/the-eu-is-welcoming-vaccinated-travellers-in-summer-2021-here-s-what-you-need-to-know
EU states agree to allow entry to bloc for vaccinated travellers,Europe,2021,https://www.euronews.com/2021/05/19/eu-states-agree-to-allow-entry-to-bloc-for-vaccinated-travellers
"Portugal, Netherlands latest EU countries to ease travel restrictions",Europe,2021,https://www.euronews.com/2021/05/15/portugal-netherlands-latest-eu-countries-to-ease-travel-restrictions
US envoy arrives for talks with Israeli and Palestinian officials,Israel,2021,https://www.euronews.com/2021/05/13/death-toll-mounts-in-gaza-and-israel-as-violence-enters-its-fourth-day
Does Denmark want to send its refugees to Rwanda?,Denmark,2021,https://www.euronews.com/2021/05/06/does-denmark-want-to-send-its-refugees-to-rwanda
EU Commission recommends entry of fully vaccinated non-EU travellers,brussels bureau,2021,https://www.euronews.com/2021/05/03/eu-commission-recommends-entry-of-fully-vaccinated-non-eu-travellers
Dubai might be the perfect destination right now,Destinations,2021,https://www.euronews.com/travel/2021/04/22/how-dubai-is-keeping-tourists-and-residents-safe
